Player,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Ederson,br BRA,GK,29,14,1260,0,1,0,0,0,0,0.2,Manchester-City
João Cancelo,pt POR,DF,28,14,1116,2,1,0,3,1,0.7,0.8,Manchester-City
Kevin De Bruyne,be BEL,MF,31,14,1131,3,9,0,0,0,2.5,6,Manchester-City
Rodri,es ESP,MF,26,13,1122,0,3,0,1,0,1.2,0.8,Manchester-City
Bernardo Silva,pt POR,"MF,FW",28,14,1068,2,5,0,1,0,1.3,1.8,Manchester-City
Erling Haaland,no NOR,FW,22,13,1037,18,3,3,2,0,11.1,2.8,Manchester-City
Phil Foden,eng ENG,"FW,DF",22,14,908,7,4,0,1,0,3.7,2,Manchester-City
İlkay Gündoğan,de GER,MF,32,12,891,2,2,0,0,0,2.1,2.1,Manchester-City
Rúben Dias,pt POR,DF,25,12,873,0,0,0,0,0,0.6,0.1,Manchester-City
John Stones,eng ENG,DF,28,9,731,0,2,0,1,0,0.4,1.3,Manchester-City
Manuel Akanji,ch SUI,DF,27,8,701,0,1,0,1,0,0.5,0.1,Manchester-City
Nathan Aké,nl NED,DF,27,8,571,0,0,0,0,0,0.1,0.1,Manchester-City
Kyle Walker,eng ENG,DF,32,7,560,0,0,0,0,0,0.3,0.1,Manchester-City
Jack Grealish,eng ENG,FW,27,8,547,1,0,0,0,0,0.9,1.2,Manchester-City
Riyad Mahrez,dz ALG,"FW,MF",31,9,372,1,0,0,1,0,1.2,0.5,Manchester-City
Aymeric Laporte,es ESP,DF,28,4,286,0,0,0,0,0,0.2,0.1,Manchester-City
Sergio Gómez,es ESP,"DF,MF",22,5,111,0,1,0,0,0,0.1,0.4,Manchester-City
Cole Palmer,eng ENG,"FW,MF",20,7,106,0,0,0,0,0,0.1,0.1,Manchester-City
Rico Lewis,eng ENG,"DF,MF",18,3,38,0,0,0,0,0,0,0,Manchester-City
Kalvin Phillips,eng ENG,MF,26,1,2,0,0,0,0,0,0,0,Manchester-City
Scott Carson,eng ENG,GK,37,0,,,,,,,,,Manchester-City
Liam Delap,eng ENG,FW,19,0,,,,,,,,,Manchester-City
Claudio Gomes,fr FRA,MF,22,0,,,,,,,,,Manchester-City
Ben Knight,eng ENG,MF,20,0,,,,,,,,,Manchester-City
Luke Mbete-Tatu,eng ENG,DF,19,0,,,,,,,,,Manchester-City
Stefan Ortega,de GER,GK,30,0,,,,,,,,,Manchester-City
Josh Wilson-Esbrand,eng ENG,DF,19,0,,,,,,,,,Manchester-City
Squad Total,,,,14,1260,39,32,3,11,1,27.6,20.6,Manchester-City
Nick Pope,eng ENG,GK,30,15,1350,0,0,0,2,0,0,0,Newcastle-United
Kieran Trippier,eng ENG,DF,32,15,1324,1,3,0,3,0,0.4,3.7,Newcastle-United
Miguel Almirón,py PAR,FW,28,15,1255,8,1,0,0,0,4.6,1.1,Newcastle-United
Fabian Schär,ch SUI,DF,30,14,1243,1,0,0,4,0,0.9,0.4,Newcastle-United
Dan Burn,eng ENG,DF,30,15,1224,0,0,0,2,0,0.4,0.1,Newcastle-United
Joe Willock,eng ENG,MF,23,15,1114,2,2,0,0,0,2.9,3.1,Newcastle-United
Joelinton,br BRA,"MF,FW",26,13,1060,1,1,0,5,0,2.3,0.9,Newcastle-United
Sven Botman,nl NED,DF,22,13,1057,0,0,0,0,0,0.3,0.9,Newcastle-United
Bruno Guimarães,br BRA,MF,25,12,992,3,2,0,1,0,0.8,1.3,Newcastle-United
Sean Longstaff,eng ENG,MF,25,15,1056,1,2,0,2,0,1.2,1.8,Newcastle-United
Callum Wilson,eng ENG,FW,30,11,787,6,2,1,1,0,6.1,0.6,Newcastle-United
Jacob Murphy,eng ENG,FW,27,15,489,1,1,0,0,0,0.8,0.6,Newcastle-United
Matt Targett,eng ENG,DF,27,10,426,0,0,0,0,0,0,0.3,Newcastle-United
Allan Saint-Maximin,fr FRA,FW,25,7,378,1,3,0,1,0,0.8,1.2,Newcastle-United
Ryan Fraser,sct SCO,FW,28,8,313,0,0,0,1,0,0.3,0.4,Newcastle-United
Alexander Isak,se SWE,FW,23,3,242,2,0,1,0,0,2.2,0.3,Newcastle-United
Chris Wood,nz NZL,FW,30,14,272,1,0,0,0,0,0.5,0.3,Newcastle-United
Jamaal Lascelles,eng ENG,DF,29,4,107,0,0,0,2,0,0.1,0,Newcastle-United
Elliot Anderson,sct SCO,"FW,MF",20,7,103,0,0,0,0,0,0.5,0.5,Newcastle-United
Jonjo Shelvey,eng ENG,MF,30,3,37,0,0,0,0,0,0,0,Newcastle-United
Javier Manquillo,es ESP,DF,28,1,11,0,0,0,0,0,0,0,Newcastle-United
Jamal Lewis,nir NIR,DF,24,1,8,0,0,0,0,0,0,0,Newcastle-United
Emil Krafth,se SWE,DF,28,1,1,0,0,0,0,0,0,0,Newcastle-United
Matt Ritchie,sct SCO,FW,33,1,1,0,0,0,0,0,0,0,Newcastle-United
Karl Darlow,eng ENG,GK,32,0,,,,,,,,,Newcastle-United
Martin Dúbravka,sk SVK,GK,33,0,,,,,,,,,Newcastle-United
Paul Dummett,wls WAL,DF,31,0,,,,,,,,,Newcastle-United
Loris Karius,de GER,GK,29,0,,,,,,,,,Newcastle-United
Squad Total,,,,15,1350,28,17,2,24,0,24.3,17.1,Newcastle-United
Hugo Lloris,fr FRA,GK,35,15,1350,0,0,0,0,0,0,0,Tottenham-Hotspur
Harry Kane,eng ENG,FW,29,15,1335,12,1,2,4,0,9.4,2.4,Tottenham-Hotspur
